Filename	Position Index	X Position	Y Position	Baseline Offset [N]	Baseline Slope	Adhesion [N]	Minimum Value [N]	Minimum Position [m]	Area [J]	Lower Bound [m]	Upper Bound [m]
map-data-2025.06.06-11.56.16.356_0577.jpk-force	577	-3.92564e-06	1.69292e-05	2.27852e-09		3.08812e-10	-3.08812e-10	9.21195e-07	6.92566e-16	8.61778e-07	5.64978e-06
map-data-2025.06.06-11.56.16.356_0578.jpk-force	578	-3.14439e-06	1.69292e-05	2.27645e-09		3.11498e-10	-3.11498e-10	9.11402e-07	6.92857e-16	8.85478e-07	5.67228e-06
map-data-2025.06.06-11.56.16.356_0579.jpk-force	579	-2.36314e-06	1.69292e-05	2.27608e-09		3.48174e-10	-3.48174e-10	9.22519e-07	6.95357e-16	8.96028e-07	5.68952e-06
map-data-2025.06.06-11.56.16.356_0580.jpk-force	580	-1.58189e-06	1.69292e-05	2.27160e-09		3.76794e-10	-3.76794e-10	9.17552e-07	6.96833e-16	9.04354e-07	5.69316e-06
map-data-2025.06.06-11.56.16.356_0581.jpk-force	581	-8.00641e-07	1.69292e-05	2.27294e-09		2.84476e-10	-2.84476e-10	9.75598e-07	6.77112e-16	9.32832e-07	5.71606e-06
map-data-2025.06.06-11.56.16.356_0582.jpk-force	582	-1.93924e-08	1.69292e-05	2.27382e-09		3.34086e-10	-3.34086e-10	1.00209e-06	6.74936e-16	9.40496e-07	5.72363e-06
map-data-2025.06.06-11.56.16.356_0583.jpk-force	583	7.61859e-07	1.69292e-05	2.29495e-09		2.81486e-10	-2.81486e-10	1.33915e-06	8.16092e-16	9.44919e-07	5.73356e-06
map-data-2025.06.06-11.56.16.356_0584.jpk-force	584	1.54311e-06	1.69292e-05	2.38194e-09		9.19266e-09	-9.19266e-09	6.87796e-06	1.87105e-14	2.95032e-06	7.32302e-06
map-data-2025.06.06-11.56.16.356_0585.jpk-force	585	2.32436e-06	1.69292e-05	-3.62779e-09		8.20232e-10	-8.20232e-10	7.53060e-06	2.02023e-17	7.48396e-06	7.53273e-06
map-data-2025.06.06-11.56.16.356_0586.jpk-force	586	3.10561e-06	1.69292e-05	2.32939e-09		3.10356e-10	-3.10356e-10	8.77340e-06	6.95188e-16	8.09384e-06	1.25300e-05
map-data-2025.06.06-11.56.16.356_0587.jpk-force	587	3.88686e-06	1.69292e-05	2.34047e-09		2.43888e-10	-2.43888e-10	9.45286e-06	6.15314e-16	9.09201e-06	1.36107e-05
